,Drug_ID,Drug,Y,CanonSmiles,Molecule,StandSmiles
35,TOX21721,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,0.0,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52ef30>,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c2n1
36,TOX24002,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,0.0,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52ef90>,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
37,TOX27071,Cc1ccccc1CCO,0.0,Cc1ccccc1CCO,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f030>,Cc1ccccc1CCO
38,TOX27070,Cc1nc(C)c(C)nc1C,0.0,Cc1nc(C)c(C)nc1C,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f090>,Cc1nc(C)c(C)nc1C
39,TOX27072,CC1=CC(O)CC(C)(C)C1,0.0,CC1=CC(O)CC(C)(C)C1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f0f0>,CC1=CC(O)CC(C)(C)C1
40,TOX27078,C=C(C)[C@@H]1CC=C(C)CC1,0.0,C=C(C)[C@@H]1CC=C(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f150>,C=C(C)[C@@H]1CC=C(C)CC1
42,TOX957,Nc1ccc(N)c([N+](=O)[O-])c1,0.0,Nc1ccc(N)c([N+](=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f210>,Nc1ccc(N)c([N+](=O)[O-])c1
43,TOX24914,O=C(O)c1cc(Cl)cc(Cl)c1O,0.0,O=C(O)c1cc(Cl)cc(Cl)c1O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f270>,O=C(O)c1cc(Cl)cc(Cl)c1O
44,TOX24913,CCCCCCCCCCCC(=O)NCCCN(C)C,0.0,CCCCCCCCCCCC(=O)NCCCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f2d0>,CCCCCCCCCCCC(=O)NCCCN(C)C
45,TOX24911,CC(C)CCCCCOC(=O)CCS,0.0,CC(C)CCCCCOC(=O)CCS,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f330>,CC(C)CCCCCOC(=O)CCS
46,TOX24919,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0.0,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f390>,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
47,TOX24918,C=CCOc1c(Br)cc(Br)cc1Br,0.0,C=CCOc1c(Br)cc(Br)cc1Br,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f3f0>,C=CCOc1c(Br)cc(Br)cc1Br
49,TOX6050,C(=C/c1ccccc1)\c1ccccc1,0.0,C(=C/c1ccccc1)\c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f4b0>,C(=C/c1ccccc1)\c1ccccc1
50,TOX5649,Cc1ccc2c(ccc3ccccc32)c1,0.0,Cc1ccc2c(ccc3ccccc32)c1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f510>,Cc1ccc2c(ccc3ccccc32)c1
51,TOX2968,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,0.0,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f570>,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O
52,TOX2614,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,0.0,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f5d0>,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
53,TOX5642,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],0.0,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f630>,Cc1ccc(C(=O)O)cc1[N+](=O)[O-]
54,TOX5641,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],0.0,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f690>,Cc1cc(C(=O)O)ccc1[N+](=O)[O-]
55,TOX2612,CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,0.0,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f6f0>,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C
56,TOX1709,NC(=O)c1ccccc1,0.0,NC(=O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f750>,NC(=O)c1ccccc1
57,TOX25757,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,0.0,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f7b0>,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
58,TOX9559,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,0.0,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f810>,O=C(NCO)N(CO)c1c(O)n(CO)c(=O)n1CO
59,TOX25753,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,0.0,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f870>,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1
60,TOX25750,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.0,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f8d0>,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
61,TOX18317,Oc1nc(Cl)c(Cl)cc1Cl,0.0,Oc1nc(Cl)c(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f930>,O=c1[nH]c(Cl)c(Cl)cc1Cl
62,TOX4781,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,1.0,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f990>,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl
63,TOX4783,C=CC(=O)OCCCl,0.0,C=CC(=O)OCCCl,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52f9f0>,C=CC(=O)OCCCl
64,TOX12375,C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-],0.0,C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52fa50>,CC(=NNC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O
65,TOX25533,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,0.0,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52fab0>,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1
66,TOX25536,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0.0,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52fb10>,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
67,TOX25537,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,0.0,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52fb70>,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O
68,TOX25534,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52fbd0>,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
69,TOX12379,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,0.0,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52fc30>,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C
70,TOX14792,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,0.0,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52fc90>,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1
71,TOX3568,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,0.0,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52fcf0>,CN(C)C1C(=O)C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12
72,TOX28635,CCCCC(=O)[O-],0.0,CCCCC(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52fd50>,CCCCC(=O)O
73,TOX7019,CCCCCCCCCCCCCC(=O)OC,0.0,CCCCCCCCCCCCCC(=O)OC,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52fdb0>,CCCCCCCCCCCCCC(=O)OC
74,TOX7014,CCCCCCC(C)O,0.0,CCCCCCC(C)O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52fe10>,CCCCCCC(C)O
76,TOX27088,CC1=C(CC=O)C(C)(C)CCC1,0.0,CC1=C(CC=O)C(C)(C)CCC1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52fed0>,CC1=C(CC=O)C(C)(C)CCC1
77,TOX3702,NCCNCCNCCN,0.0,NCCNCCNCCN,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52ff30>,NCCNCCNCCN
78,TOX3706,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,1.0,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52ff90>,C[C@]12CC[C@H]3[C@@H](CC[C@@]45OC4C(=O)C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O
79,TOX4280,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,0.0,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530030>,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
80,TOX4930,Cc1ccc(N)c(N)c1,0.0,Cc1ccc(N)c(N)c1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530090>,Cc1ccc(N)c(N)c1
81,TOX4931,CCCCCNCCCCC,0.0,CCCCCNCCCCC,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e5300f0>,CCCCCNCCCCC
82,TOX4284,COCC(C)O,0.0,COCC(C)O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530150>,COCC(C)O
83,TOX4937,c1ccc2c(c1)Oc1ccccc1S2,0.0,c1ccc2c(c1)Oc1ccccc1S2,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e5301b0>,c1ccc2c(c1)Oc1ccccc1S2
84,TOX4286,CC1CN1,0.0,CC1CN1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530210>,CC1CN1
85,TOX4287,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,0.0,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530270>,CCc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1
86,TOX25447,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,0.0,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e5302d0>,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1
87,TOX25916,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,0.0,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530330>,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
88,TOX173,ClCOCCl,0.0,ClCOCCl,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530390>,ClCOCCl
90,TOX5886,CCOC(=O)C1OC1c1ccccc1,0.0,CCOC(=O)C1OC1c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530450>,CCOC(=O)C1OC1c1ccccc1
91,TOX5889,ONc1ccccc1,0.0,ONc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e5304b0>,ONc1ccccc1
92,TOX5888,O=CC(=O)c1ccccc1,0.0,O=CC(=O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530510>,O=CC(=O)c1ccccc1
94,TOX21530,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],0.0,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7fcf9e5305d0>,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)O
95,TOX25005,ClCc1ccc(Cl)cc1Cl,0.0,ClCc1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530630>,ClCc1ccc(Cl)cc1Cl
96,TOX6867,O=C(O)CCCCCCCCC(=O)O,0.0,O=C(O)CCCCCCCCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530690>,O=C(O)CCCCCCCCC(=O)O
97,TOX6864,CCCCCCCC(=O)OC,0.0,CCCCCCCC(=O)OC,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e5306f0>,CCCCCCCC(=O)OC
98,TOX6863,CC(O)COCC(C)O,0.0,CC(O)COCC(C)O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530750>,CC(O)COCC(C)O
99,TOX26644,O=C([O-])COc1nn(Cc2ccccc2)c2ccccc12,0.0,O=C([O-])COc1nn(Cc2ccccc2)c2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e5307b0>,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12
100,TOX2107,Cc1ncc[nH]1,0.0,Cc1ncc[nH]1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530810>,Cc1ncc[nH]1
101,TOX27268,COc1ccc2sc(C(=O)Nc3nnn[n-]3)c(OC(C)C)c2c1,0.0,COc1ccc2sc(C(=O)Nc3nnn[n-]3)c(OC(C)C)c2c1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530870>,COc1ccc2sc(C(=O)Nc3nn[nH]n3)c(OC(C)C)c2c1
102,TOX27264,Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,0.0,Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e5308d0>,Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O
103,TOX27266,O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,0.0,O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530930>,O=S(=O)(NC1(C(O)=NO)CCOCC1)c1ccc(Oc2ccc(F)cc2)cc1
104,TOX27267,Cc1nc(C)nc(N2C[C@H](C)N(c3ccnc([C@@H](C)O)n3)[C@H](C)C2)n1,0.0,Cc1nc(C)nc(N2C[C@@H](C)N(c3ccnc([C@@H](C)O)n3)[C@@H](C)C2)n1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e530990>,Cc1nc(C)nc(N2C[C@@H](C)N(c3ccnc([C@@H](C)O)n3)[C@@H](C)C2)n1
